key_resp.corr,key_resp.rt,,,,SeqRT,RanRT
1,0.6992239,,,,0.6992239,0.5744287
1,0.5329241,,,,0.5329241,0.6094278
1,0.8434428,,,,0.8434428,0.8704236
1,0.4621313,,,,0.4621313,0.4596729
1,0.3221629,,,,0.3221629,0.500913
1,0.2951218,,,,0.2951218,0.7088453
1,0.3341561,,,,0.3341561,0.539131
1,0.276552,,,,0.276552,0.5601448
1,0.3032448,,,,0.3032448,0.4809855
1,0.315253,,,,0.315253,0.3139965
1,0.9383145,,,,0.9383145,0.5756458
1,0.4265894,,,,0.4265894,0.5441234
1,0.4625836,,,,0.4625836,0.4332052
1,0.5504497,,,,0.5504497,0.3314912
1,0.3235785,,,,0.3235785,0.5157249
1,0.3193731,,,,0.3193731,0.5291887
1,0.3249084,,,,0.3249084,0.4158399
1,0.3134568,,,,0.3134568,0.589717
1,0.8301711,,,,0.8301711,0.5615844
1,0.2908252,,,,0.2908252,0.5272711
1,0.2518742,,,,0.2518742,0.4678836
1,0.2984821,,,,0.2984821,0.4720081
1,0.7340512,,,,0.7340512,0.4573467
1,0.3895903,,,,0.3895903,0.4275731
1,0.4832041,,,,0.4832041,0.4532645
1,0.4547564,,,,0.4547564,0.4475407
1,1.1092515,,,,1.1092515,0.4964814
1,0.3399683,,,,0.3399683,0.6437365
1,0.9602938,,,,0.9602938,0.5764118
1,0.2732087,,,,0.2732087,0.5513366
1,0.320554,,,,0.320554,0.5826017
1,0.87118,,,,0.87118,0.5790032
1,0.2751811,,,,0.2751811,0.4730168
1,0.3168441,,,,0.3168441,0.5032079
1,1.0006161,,,,1.0006161,1.145913
1,0.4080728,,,,0.4080728,0.4902699
1,0.8865633,,,,0.8865633,0.6334801
1,0.4143613,,,,0.4143613,0.596698
1,2.9872601,,,,,
1,0.9183328,,,,,
1,0.9250207,,,,,
1,0.5407284,,,,,
1,0.7450216,,,,,
1,0.7894319,,,,,
1,0.5813541,,,,,
1,0.4701663,,,,,
1,0.8861801,,,,,
1,0.6481023,,,,,
1,0.6636835,,,,,
1,0.5465713,,,,,
1,0.4565125,,,,,
1,0.4328367,,,,,
1,0.7124378,,,,,
1,0.681497,,,,,
1,0.5673747,,,,,
1,0.6440714,,,,,
1,0.7428951,,,,,
1,0.6656769,,,,,
1,0.7176597,,,,,
1,0.505782,,,,,
1,0.7460287,,,,,
1,0.7447137,,,,,
1,0.3811582,,,,,
0,0.6447847,,,,,
1,0.6953065,,,,,
1,0.6317136,,,,,
1,0.4068881,,,,,
1,0.3844511,,,,,
1,0.422948,,,,,
1,0.5321212,,,,,
1,0.531431,,,,,
1,0.370148,,,,,
1,0.493445,,,,,
1,0.5996993,,,,,
1,0.4143265,,,,,
1,0.5188742,,,,,
1,0.3937797,,,,,
1,0.6163961,,,,,
1,0.4450282,,,,,
1,0.5222656,,,,,
1,0.5291128,,,,,
1,0.3390958,,,,,
1,0.3830062,,,,,
1,0.4117301,,,,,
1,0.5259265,,,,,
1,0.4034514,,,,,
1,0.5824524,,,,,
1,0.546134,,,,,
1,0.3391739,,,,,
1,0.503931,,,,,
1,0.3238917,,,,,
1,0.3616505,,,,,
1,0.8120681,,,,,
1,0.6802571,,,,,
1,0.5614052,,,,,
1,0.4807878,,,,,
1,0.5744287,,,,,
1,0.6094278,,,,,
1,0.8704236,,,,,
1,0.4596729,,,,,
1,0.500913,,,,,
1,0.7088453,,,,,
1,0.539131,,,,,
1,0.5601448,,,,,
1,0.4809855,,,,,
1,0.3139965,,,,,
1,0.5756458,,,,,
0,0.5441234,,,,,
1,0.4332052,,,,,
1,0.3314912,,,,,
1,0.5157249,,,,,
1,0.5291887,,,,,
1,0.4158399,,,,,
1,0.589717,,,,,
1,0.5615844,,,,,
1,0.5272711,,,,,
1,0.4678836,,,,,
1,0.4720081,,,,,
1,0.4573467,,,,,
1,0.4275731,,,,,
1,0.4532645,,,,,
1,0.4475407,,,,,
1,0.4964814,,,,,
1,0.6437365,,,,,
1,0.5764118,,,,,
1,0.5513366,,,,,
1,0.5826017,,,,,
1,0.5790032,,,,,
1,0.4730168,,,,,
1,0.5032079,,,,,
1,1.145913,,,,,
1,0.4902699,,,,,
1,0.6334801,,,,,
1,0.596698,,,,,
